['1654664979', '1654664981', '1654664983', '1654664985', '1654664987', '1654664989', '1654664991', '1654664993', '1654664995', '1654664997', '1654664999', '1654665001', '1654665003', '1654665005', '1654665007', '1654665009', '1654665011', '1654665013', '1654665015', '1654665017', '1654665019', '1654665021', '1654665023', '1654665025', '1654665027', '1654665029', '1654665031', '1654665033', '1654665035', '1654665037', '1654665039', '1654665041', '1654665043', '1654665045', '1654665047', '1654665049', '1654665051', '1654665053', '1654665055', '1654665057', '1654665059', '1654665061', '1654665063', '1654665065', '1654665067', '1654665069', '1654665071', '1654665073', '1654665075', '1654665077', '1654665079', '1654665081', '1654665083', '1654665085', '1654665087', '1654665089', '1654665091', '1654665093', '1654665095', '1654665097']
66564,9,NVIDIAGeForceGTX1080,2022-06-08 13:18:47,2022-06-08 13:56:22
66565,14,NVIDIAGeForceRTX2080Ti,,
66569,18,NVIDIAGeForceRTX2080Ti,2022-06-08 13:19:52,2022-06-08 13:21:09
66572,36,NVIDIAGeForceRTX2080Ti,2022-06-08 13:21:50,2022-06-08 14:02:04
66574,2,NVIDIAGeForceGTX1080,2022-06-08 13:22:49,2022-06-08 13:35:15
66575,50,NVIDIATITANRTX,2022-06-08 13:31:26,2022-06-08 13:36:44
66576,8,NVIDIAGeForceGTX1080,,
66577,42,NVIDIATITANRTX,2022-06-08 13:31:49,2022-06-08 13:50:05
66578,52,NVIDIATITANRTX,2022-06-08 13:38:22,2022-06-08 13:38:43
66582,43,NVIDIATITANRTX,2022-06-08 13:38:22,2022-06-08 14:02:14
66583,46,NVIDIATITANRTX,2022-06-08 13:39:23,2022-06-08 13:39:41
66584,47,NVIDIATITANRTX,2022-06-08 13:40:25,2022-06-08 13:41:05
66586,53,NVIDIATITANRTX,2022-06-08 13:41:20,2022-06-08 13:42:08
66587,39,NVIDIATITANRTX,2022-06-08 13:42:55,2022-06-08 14:02:12
66590,48,NVIDIATITANRTX,2022-06-08 13:50:27,2022-06-08 14:19:21
66594,4,NVIDIAGeForceGTX1080,2022-06-08 13:56:54,2022-06-08 13:57:13
66596,7,NVIDIAGeForceGTX1080,2022-06-08 13:58:52,2022-06-08 13:59:13
66600,27,NVIDIAGeForceRTX2080Ti,2022-06-08 14:02:27,2022-06-08 14:06:59
66601,41,NVIDIATITANRTX,2022-06-08 14:02:56,2022-06-08 14:03:50
66602,40,NVIDIATITANRTX,2022-06-08 14:02:56,2022-06-08 14:29:44
66604,45,NVIDIATITANRTX,2022-06-08 14:04:27,2022-06-08 14:04:47
66605,32,NVIDIAGeForceRTX2080Ti,2022-06-08 14:07:28,2022-06-08 14:09:30
66607,21,NVIDIAGeForceRTX2080Ti,2022-06-08 14:09:58,2022-06-08 14:14:37
66609,24,NVIDIAGeForceRTX2080Ti,2022-06-08 14:14:59,2022-06-08 14:32:55
66612,15,NVIDIAGeForceRTX2080Ti,2022-06-08 14:33:31,2022-06-08 14:55:31
66615,23,NVIDIAGeForceRTX2080Ti,2022-06-08 14:49:20,2022-06-08 14:51:16
66620,19,NVIDIAGeForceRTX2080Ti,2022-06-08 14:52:01,2022-06-08 14:57:12
66621,26,NVIDIAGeForceRTX2080Ti,2022-06-08 14:56:04,2022-06-08 15:06:37
66622,22,NVIDIAGeForceRTX2080Ti,2022-06-08 14:57:34,2022-06-08 14:57:56
66624,13,NVIDIAGeForceRTX2080Ti,2022-06-08 14:58:30,2022-06-08 15:00:28
66651,16,NVIDIAGeForceRTX2080Ti,2022-06-08 15:01:05,2022-06-08 15:38:47
66672,29,NVIDIAGeForceRTX2080Ti,2022-06-08 15:07:07,2022-06-08 15:07:36
66673,25,NVIDIAGeForceRTX2080Ti,2022-06-08 15:08:02,2022-06-08 15:12:53
66674,20,NVIDIAGeForceRTX2080Ti,2022-06-08 15:13:38,2022-06-08 15:19:27
66679,17,NVIDIAGeForceRTX2080Ti,2022-06-08 15:20:08,2022-06-08 15:52:26
